,caseNumber,gender,age,activity
2018,2000.08.31,M,47,Swimming
2019,2000.08.30,M,69,Jumped into the water
2020,2000.08.27.R,M,,Conducting research
2021,2000.08.21,M,,Swimming out to porpoises 
2022,2000.08.15,M,53,"Windsurfing, but sitting on his board"
2023,2000.08.13,M,27,Surfing / Wading
2024,2000.08.12,F,44,Standing
2025,2000.08.11,M,,Swimming 
2026,2000.08.10,M,23 & 20,Attempting to illegally enter the USA
2027,2000.08.00,,,Swimming
2028,2000.07.25,M,5,
2029,2000.07.22,F,45,Snorkeling
2030,2000.07.17,M,16,Surfing
2031,2000.07.16.b,M,14,Surfing
2032,2000.07.16.a,M,15,Surfing
2033,2000.07.15.b,M,18,Surfing
2034,2000.07.15.a,M,,Surfing
2035,2000.07.12,M,69,Scuba diving
2036,2000.07.10,M,13,Wading
2037,2000.07.09,M,41,Swimming 
2038,2000.07.07,M,5,Jumping
2039,2000.07.06,F,12,Playing
2040,2000.07.04.b,F,20,Wading
2041,2000.07.04.a,F,55,"Spearfishing, holding mesh bag with speared fish"
2042,2000.07.02.b,F,13,Wading
2043,2000.07.02.a,F,19,Standing
2044,2000.07.00,,,Swimming
2045,2000.06.30,M,,
2046,2000.06.29,M,,Fishing
2047,2000.06.19,M,52,Standing
2048,2000.06.13,,,Sailing
2049,2000.06.10,M,17,Surfing
2050,2000.06.09.b,M,55,Swimming
2051,2000.06.09.a,M,44,Swimming 
2052,2000.06.02,M,13,Snorkeling
2053,2000.06.00,M,,Swimming
2054,2000.05.13,,,"Air Disaster - Piper aircraft crashed into the sea, killing all on board"
2055,2000.05.09,,,
2056,2000.05.07.b,M,9,Standing
2057,2000.05.07.a,M,,Diving
2058,2000.04.14,M,34,Walking
2059,2000.04.09,M,,Boogie boarding / wading
2060,2000.03.31,M,,Fishing
2061,2000.03.30,M,26,Swimming
2062,2000.03.26,F,14,Boogie boarding
2063,2000.03.24,M,37,Surfing
2064,2000.03.15,M,35,Spearfishing
2065,2000.03.14,M,,Surfing
2066,2000.03.10,,,Rowing
2067,2000.03.09,,,Rowing
2068,2000.03.03.R,M,27,Kayaking
2069,2000.03.02,M,,Swimming
2070,2000.03.00,M,39,Spearfishing
2071,2000.02.21,M,27,
2072,2000.02.19,M,,Body surfing
2073,2000.02.14,M,,Feeding prawns to captive sharks
2074,2000.02.03,M,12,Surfing
2075,2000.02.01,M,26,Surfing
2076,2000.01.28.R,M,,Canoe with 3 men onboard sank
2077,2000.01.05,M,35,Diving
2078,2000.00.00,M,,Fishing for tarpon
2079,1999.12.31.c,M,15,Surfing
2080,1999.12.31.b,F,13,Swimming
2081,1999.12.31.a,F,12,Bathing
2082,1999.12.26,M,18,Surfing
2083,1999.12.14,M,,Scuba diving
2084,1999.12.06,M,39,Spearfishing
2085,1999.12.02,M,35,Surfing
2086,1999.11.30,M,19,Surfing
2087,1999.11.23,F,51,Swimming
2088,1999.11.15,M,,Surfing (sitting on his board)
2089,1999.11.13,M,35,Surfing
2090,1999.11.06,M,39,"Spearfishing, but swimming at surface"
2091,1999.11.00.b,M,12,Swimming
2092,1999.11.00.a,M,12,Swimming
2093,1999.10.30.b,M,45,Body boarding
2094,1999.10.30.a,M,13,Body surfing
2095,1999.10.20,M,,Surfing
2096,1999.10.01,M,16,"Surfing, lying on surfboard"
2097,1999.09.29,M,22,Wading to shore after surfing
2098,1999.09.24,,,Fishing
2099,1999.09.18,M,37,Kayaking
2100,1999.09.16,F,61,Wading
2101,1999.09.10,F,10,Wading
2102,1999.09.05,M,13,Surfing
2103,1999.09.04.b,M,7,Wading
2104,1999.09.04.a,M,39,Wading with surfboard
2105,1999.08.26,M,28,Surfing
